Canonical_PostEra_ID,suspected_SMILES,IC50_(µM),IC50_CI_(Lower)_(µM),IC50_CI_(Upper)_(µM),Hill_slope,Curve_class,Semiquant
DAN-MCD-9b81d1fa-1,O=C(NCc1ccccc1)[C@H]1CN(C(=O)CCl)CCN1S(=O)(=O)c1ccsc1,0.621,0.550,0.701,1.65,1.1,Quant
DAN-MCD-9cdc9f7f-1,O=C(NC(c1ccccc1)c1ccccc1)[C@@H]1CN(C(=O)CCl)CCN1S(=O)(=O)c1ccsc1,0.635,0.586,0.689,1.58,1.1,Quant
DAN-MCD-b3a5626f-1,O=C(NCc1ccccc1)[C@@H]1CN(C(=O)CCl)CCN1S(=O)(=O)c1ccsc1,0.501,0.458,0.549,1.59,1.1,Quant
DAN-MCD-c163c0bb-1,O=C(Nc1ccc(F)cc1)[C@@H]1CN(C(=O)CCl)CCN1S(=O)(=O)c1ccsc1,0.593,0.521,0.675,1.72,1.1,Quant
DAN-MCD-cb24a79d-1,O=C(CCl)N1CCN(S(=O)(=O)c2ccsc2)[C@H](C(=O)N2CCN(c3ccccc3)CC2)C1,1.98,1.56,2.52,1.83,1.1,Quant
DAN-MCD-e5161b06-1,O=C(Nc1ccccc1)[C@H]1CN(C(=O)CCl)CCN1S(=O)(=O)c1ccsc1,0.386,0.339,0.440,1.55,1.1,Quant
DAN-MCD-f396e45b-1,O=C(NC(c1ccccc1)c1ccccc1)[C@H]1CN(C(=O)CCl)CCN1S(=O)(=O)c1ccsc1,0.832,0.712,0.974,1.62,1.1,Quant
DAR-DIA-23aa0b97-20,"O=C(CC1=CN=CC2=CC=CC=C12)NC1=CC=CC=C1 |c:5,9,18,20,t:3,7,11,16|",61.3,55.6,67.6,1.11,2.1,Quant
DAR-DIA-5ff57136-9,[H][C@@]1(C(=O)N(C(=O)/C=C/C(=O)OC)c2cncc3ccccc23)CCOc2ccc(Cl)cc21,0.500,0.453,0.551,1.02,1.1,Quant
DAR-DIA-8e329c92-2,COc1ccccc1OCCNC(=O)c1cc(N)cc2ccccc12,> 99.5,,,1.23,2.3,Weak
EDG-MED-0da5ad92-15,Cc1ccnnc1NC(=O)Cc1cccc(Cl)c1,> 99.5,,,1.67,2.3,Weak
EDG-MED-0da5ad92-17,Cc1cc(N)ncc1NC(=O)Cc1cccc(Cl)c1,> 99.5,,,1.56,2.3,Weak
EDG-MED-0da5ad92-2,O=C(Cc1cccc(Cl)c1)Nc1cccnc1,53.7,48.6,59.4,1.29,2.1,Quant
EDG-MED-0da5ad92-20,Cc1ccncc1NC(=O)N(Cc1ccccc1)c1cccc(Cl)c1,22.9,21.3,24.7,1.4,2.1,Quant
EDG-MED-0da5ad92-3,Cc1ccncc1NC(=O)N(C)c1cccc(Cl)c1,> 99.5,,,1.65,2.3,Weak
EDG-MED-0da5ad92-7,CCCCOc1ccc(Cl)cc1CC(=O)Nc1cnccc1C,24.8,18.7,32.9,0.886,2.1,Quant
EDG-MED-5d232de5-1,[H][C@@]1(C(=O)Nc2cncc3ccc(F)cc23)CCOc2ccc(Cl)cc21,0.321,0.245,0.420,0.725,1.1,Quant
