suspected_SMILES,Canonical_PostEra_ID,IC50_(µM),IC50_CI_(Lower)_(µM),IC50_CI_(Upper)_(µM),Hill_slope,Curve_class
"CC(C)(O)C1=CC=C(C=C1)N(C(C(=O)NCCC1=CC=CC(F)=C1)C1=CC=CN=C1)C(=O)C1=COC=N1 |c:6,8,20,23,28,30,38,t:4,18,26,35|",ALP-UNI-fe744232-18,26.5,24.1,29.2,0.924,2.1
"OCCNC(=O)C1=CC=C(C=C1)N(C(C(=O)NCCC1=CC=CC(F)=C1)C1=CC=CN=C1)C(=O)C1=COC=N1 |c:8,10,22,25,30,32,40,t:6,20,28,37|",ALP-UNI-fe744232-17,> 99.5,,,1.73,2.3
"CC(C)OC1=CC=C(C=C1)N(C(C(=O)NCCC1=CC=NC=C1)C1=CC=CN=C1)C(=O)C1=COC=N1 |c:6,8,20,22,27,29,37,t:4,18,25,34|",ALP-UNI-fe744232-16,4.04,3.70,4.42,1.07,1.1
"FC1=CC=CC(CCNC(=O)C(N(C(=O)C2=COC=N2)C2=CC=C(NC(=O)NC3CC3)C=C2)C2=CC=CN=C2)=C1 |c:3,18,33,38,40,42,t:1,15,21,23,36|",ALP-UNI-fe744232-13,> 99.5,,,1.86,2.3
"CNC(=O)NC1=CC=C(C=C1)N(C(C(=O)NCCC1=CC=CC(F)=C1)C1=CC=CN=C1)C(=O)C1=COC=N1 |c:7,9,21,24,29,31,39,t:5,19,27,36|",ALP-UNI-fe744232-12,> 99.5,,,1.14,2.1
"CC1(OCCO1)C1=CC=C(C=C1)N(C(C(=O)NCCC1=CC=CC(F)=C1)C1=CC=CN=C1)C(=O)C1=COC=N1 |c:9,11,23,26,31,33,41,t:7,21,29,38|",ALP-UNI-fe744232-11,83.1,73.6,93.8,1.05,2.1
"CC(C)OC1=CC=C(C=C1)N(C(C(=O)NCCC1=CC=CN=C1)C1=CC=CN=C1)C(=O)C1=COC=N1 |c:6,8,20,22,27,29,37,t:4,18,25,34|",ALP-UNI-fe744232-10,8.14,7.43,8.92,1.01,1.1
"CCNC(=O)C1=CC=C(C=C1)N(C(C(=O)NCCC1=CC=CC(F)=C1)C1=CC=CN=C1)C(=O)C1=COC=N1 |c:7,9,21,24,29,31,39,t:5,19,27,36|",ALP-UNI-fe744232-9,> 99.5,,,1.37,2.3
"CC(C)OC1=CC=C(C=C1)N(C(C(=O)NCCC1=CON=C1)C1=CC=CN=C1)C(=O)C1=COC=N1 |c:6,8,21,26,28,36,t:4,18,24,33|",ALP-UNI-fe744232-8,3.11,2.90,3.33,0.983,1.1
"CC(C)OC1=CC=C(C=C1)N(C(C(=O)NCCC1=CNN=C1)C1=CC=CN=C1)C(=O)C1=COC=N1 |c:6,8,21,26,28,36,t:4,18,24,33|",ALP-UNI-fe744232-7,4.73,3.90,5.73,0.819,1.1
"CC(C)OC1=CC=C(C=C1)N(C(C(=O)NCCC1=CC=CC=N1)C1=CC=CN=C1)C(=O)C1=COC=N1 |c:6,8,20,22,27,29,37,t:4,18,25,34|",ALP-UNI-fe744232-5,6.41,5.74,7.17,0.999,1.1
"CC(C)OC1=CC=C(C=C1)N(C(C(=O)NCCC1=NC=CS1)C1=CC=CN=C1)C(=O)C1=COC=N1 |c:6,8,20,26,28,36,t:4,18,24,33|",ALP-UNI-fe744232-4,4.53,4.11,5.00,0.978,1.1
"FC1=CC=CC(CCNC(=O)C(N(C(=O)C2=COC=N2)C2=CC=C(C=C2)C#N)C2=CC=CN=C2)=C1 |c:3,18,23,25,32,34,36,t:1,15,21,30|",ALP-UNI-fe744232-3,> 99.5,,,1.34,2.3
"COC1=CC=C(CCNC(=O)C(N(C(=O)C2=COC=N2)C2=CC=C(OC(C)C)C=C2)C2=CC=CN=C2)C=C1F |c:18,29,34,36,39,t:2,4,15,21,23,32|",ALP-UNI-fe744232-2,1.35,1.28,1.43,0.987,1.1
"FC1=CC=CC(CCNC(=O)C(N(C(=O)C2=COC=N2)C2=CC=C(C=C2)N2C=CN=C2)C2=CC=CN=C2)=C1 |c:3,18,23,25,29,31,36,38,40,t:1,15,21,34|",ALP-UNI-fe744232-1,> 99.5,,,1.42,2.1
C[C@]1(C(=O)Nc2cncc3c2CCCC3)CNS(=O)(=O)c2ccc(Cl)cc21,MIK-ENA-5d9157e9-6,3.72,3.60,3.85,1.03,1.1
C[C@@]1(C(=O)Nc2cncc3c2CCCC3)CNS(=O)(=O)c2ccc(Cl)cc21,MIK-ENA-5d9157e9-5,0.214,0.206,0.222,1.08,2.1
[H][C@@]1(C(=O)Nc2cncc3cccc(Cl)c23)CN(CC(=O)NC)C(=O)c2ccc(Cl)cc21,MIK-ENA-5d9157e9-4,0.0964,0.0906,0.103,1.14,2.1
[H][C@]1(C(=O)Nc2cncc3cccc(Cl)c23)CN(CC(=O)NC)C(=O)c2ccc(Cl)cc21,MIK-ENA-5d9157e9-3,14.6,12.2,17.4,1.09,1.1
